,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,29,NOB,ABA,,12,,2,,,,17,20,,,,,,,,31
1968-69,30,OAK,ABA,,11,,0,,,,10,16,,,,,,,,28
1969-70,31,CAR,ABA,,8,,0,,,,4,6,,,,,,,,18
1970-71,32,VIR,ABA,,11,,1,,,,6,8,,,,,,,,29
1971-72,33,VIR,ABA,,5,,0,,,,5,6,,,,,,,,13
Career,,,,,12,,2,,,,17,20,,,,,,,,31
3 Seasons,,"OAK,VIR",ABA,,11,,1,,,,10,16,,,,,,,,29
1 Season,,NOB,ABA,,12,,2,,,,17,20,,,,,,,,31
1 Season,,CAR,ABA,,8,,0,,,,4,6,,,,,,,,18
