,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,29,NOB,ABA,,15,,1,,,,19,22,,,,,,,,39
1968-69,30,OAK,ABA,,16,,2,,,,13,15,,,,,,,,41
1969-70,31,CAR,ABA,,15,,3,,,,15,16,,,,,,,,45
1970-71,32,VIR,ABA,,11,,1,,,,9,11,,,,,,,,27
1971-72,33,VIR,ABA,,10,,1,,,,6,6,,,,,,,,24
Career,,,,,16,,3,,,,19,22,,,,,,,,45
3 Seasons,,"OAK,VIR",ABA,,16,,2,,,,13,15,,,,,,,,41
1 Season,,CAR,ABA,,15,,3,,,,15,16,,,,,,,,45
1 Season,,NOB,ABA,,15,,1,,,,19,22,,,,,,,,39
