Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Doug Moe,,9.4,5.2,4.8,4.3,1.8
Orlando Woolridge,92.2,9,5.6,5.3,3.6,1.8
Gordon Hayward,91.3,8.7,5.4,4.9,3.6,1.2
Arthur Becker,91.0,9.6,5.4,4.6,4.4,3.7
Antonio McDyess,90.8,9.4,6.2,4.2,3.6,1.8
Kevin Willis,90.4,8.6,4.7,4.7,4.2,2.7
James Posey,89.7,10,5.4,4.3,3.8,2.7
Armen Gilliam,88.1,7.6,5.1,4.6,4.5,1.3
Stacey Augmon,87.8,9.7,5.6,5.1,3.7,3.7
Udonis Haslem,87.6,9.2,7,5.1,4.8,2.5
Tiago Splitter,87.6,8.2,4.6,4.3,4,2.3
