Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,BLK,TOV,PF,PTS
1967-68,29,NOB,ABA,SF,1,NA,29:00,7,13,0.538,0,1,0,3,5,0.6,2,7,5,NA,2,4,17
1968-69,30,OAK,ABA,SF,1,NA,26:00,6,13,0.462,0,0,NA,5,8,0.625,4,6,6,NA,1,3,17
1969-70,31,CAR,ABA,SF,1,NA,26:00,0,5,0,0,0,NA,2,3,0.667,NA,8,6,NA,NA,1,2
Career,NA,,ABA,,3,NA,81,13,31,0.419,0,1,0,10,16,0.625,6,21,17,NA,3,8,36
