Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Doug Moe,,9.4,5.2,4.8,4.3,1.8,NA,NA,NA
Arthur Becker,90.0,9.6,5.4,4.6,4.4,3.7,0.3,NA,NA
Reggie King,85.5,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA
Tiago Splitter,82.1,8.2,4.6,4.3,4,2.3,1.7,0.1,NA
Otto Porter,79.2,9.4,8.1,5.6,3.2,2.7,0,NA,NA
Joe Ingles,78.7,7.6,6,5,2.3,2.2,NA,NA,NA
Les Hunter,78.2,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,NA
Donald Sidle,76.8,9.7,5.9,5.6,1.9,NA,NA,NA,NA
Dwight Powell,75.7,7.5,6.6,4.6,3.1,0.6,NA,NA,NA
Greg Smith,75.6,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
Chandler Parsons,74.5,7.6,7,5.5,4.3,3.4,1.1,0.2,0
