Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,29,NOB,ABA,SF,17,NA,715,7.3,17.4,0.416,0.2,0.6,0.364,7,16.9,0.418,5.4,7.5,0.718,NA,NA,8.5,2,NA,2.7,3.6,20.1
1968-69,30,OAK,ABA,SF,16,NA,593,7,17.2,0.405,0,0.2,0,7,17,0.411,5.3,6.7,0.784,NA,NA,7.5,1.9,NA,2.6,4.1,19.2
1969-70,31,CAR,ABA,SF,4,NA,168,5.4,16.3,0.329,0,0.9,0,5.4,15.4,0.347,2.6,3.4,0.75,NA,NA,5.6,5.4,NA,NA,4.1,13.3
1970-71,32,VIR,ABA,SF,12,NA,421,7.7,15.1,0.508,0.1,0.3,0.333,7.6,14.9,0.511,2.7,3.5,0.756,1.9,3,4.9,3.2,NA,1.5,3.7,18.1
1971-72,33,VIR,ABA,SF,11,NA,245,5.4,12.5,0.435,0,0.1,0,5.4,12.3,0.44,3.2,3.7,0.88,NA,NA,6.3,4,NA,3.7,5.9,14.1
Career,NA,,ABA,,60,NA,2142,6.9,16.3,0.425,0.1,0.4,0.217,6.8,15.9,0.43,4.4,5.7,0.757,1.9,3,7,2.7,NA,2.5,4,18.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"OAK,VIR",ABA,,39,NA,1259,6.9,15.6,0.443,0,0.2,0.125,6.9,15.4,0.448,4,5.1,0.791,1.9,3,6.4,2.7,NA,2.4,4.3,17.9
1 season,NA,NOB,ABA,,17,NA,715,7.3,17.4,0.416,0.2,0.6,0.364,7,16.9,0.418,5.4,7.5,0.718,NA,NA,8.5,2,NA,2.7,3.6,20.1
1 season,NA,CAR,ABA,,4,NA,168,5.4,16.3,0.329,0,0.9,0,5.4,15.4,0.347,2.6,3.4,0.75,NA,NA,5.6,5.4,NA,NA,4.1,13.3
