Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Laron Profit,,0.4,0.3,0.3,-0.3
Paul Long,55.7,0.5,0.3,0.2,-0.2
Corey Gaines,53.0,0.6,0.3,0.2,-0.1
Kennard Winchester,51.4,0.5,0.4,0.3,NA
Tyler Ennis,39.6,0.8,0.4,0.4,-0.3
Jordan McRae,39.2,0.5,0.4,0.2,NA
Delaney Rudd,38.8,0.6,0.3,0.1,-0.3
Jermaine Jackson,38.4,0.6,0.2,0.2,-0.2
Mario West,37.0,0.5,0.4,0.3,0.2
Jorge Gutiérrez,35.3,0.3,0.3,0.2,NA
Darrin Hancock,32.0,0.5,0.4,0.2,NA
