Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Laron Profit,,0.4,0.3,0.3,-0.3,NA
Paul Long,55.7,0.5,0.3,0.2,-0.2,NA
Kennard Winchester,51.4,0.5,0.4,0.3,NA,NA
Tyler Ennis,39.6,0.8,0.4,0.4,-0.3,NA
Jordan McRae,39.2,0.5,0.4,0.2,NA,NA
Delaney Rudd,38.8,0.6,0.3,0.1,-0.3,NA
Mario West,37.0,0.5,0.4,0.3,0.2,NA
Jorge Gutiérrez,35.3,0.3,0.3,0.2,NA,NA
Corey Gaines,33.0,0.6,0.3,0.2,0.1,-0.1
Darrin Hancock,32.0,0.5,0.4,0.2,NA,NA
Julyan Stone,27.6,0.4,0.3,0.2,0.1,NA
