Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,25,DLC,ABA,PG,58,2175,9.4,0.459,0.021,0.393,NA,NA,5.9,14.9,19.9,21.4,NA,1,0.9,1.8,0.041
1968-69,26,TOT,ABA,PG-SG,76,2148,10.4,0.474,0.028,0.344,NA,NA,4.5,17.9,19.5,23.2,NA,0.8,1.6,2.4,0.053
1968-69,26,NYA,ABA,SG,24,645,9.9,0.474,0.015,0.402,NA,NA,5.3,17.6,20.4,22.2,NA,0.2,0.3,0.6,0.042
1968-69,26,MMF,ABA,PG,52,1503,10.7,0.473,0.033,0.322,NA,NA,4.2,18,19.2,23.6,NA,0.5,1.3,1.8,0.058
1969-70,27,TOT,ABA,SG-PG,55,992,7.3,0.465,0.093,0.335,NA,NA,5.1,19,25.1,21.6,NA,0.1,0.8,0.8,0.039
1969-70,27,MMF,ABA,PG,11,319,4.1,0.413,0.025,0.314,NA,NA,4.6,18.6,25.5,20.3,NA,-0.3,0.3,-0.1,-0.011
1969-70,27,PTP,ABA,SG,17,380,8.5,0.504,0.038,0.394,NA,NA,4.4,18.9,27.6,20.2,NA,0.3,0.3,0.6,0.078
1969-70,27,DLC,ABA,SG,27,293,9.2,0.471,0.203,0.297,NA,NA,6.6,19.4,22,24.6,NA,0.1,0.2,0.3,0.043
Career,NA,,ABA,,189,5315,9.4,0.466,0.037,0.361,NA,NA,5.2,16.9,20.7,22.1,NA,1.8,3.2,5,0.045
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DLC,ABA,,85,2468,9.4,0.461,0.047,0.379,NA,NA,6,15.4,20.2,21.7,NA,1,1.1,2.1,0.041
2 seasons,NA,MMF,ABA,,63,1822,9.5,0.465,0.032,0.321,NA,NA,4.3,18.1,20.2,23.1,NA,0.2,1.5,1.7,0.046
1 season,NA,NYA,ABA,,24,645,9.9,0.474,0.015,0.402,NA,NA,5.3,17.6,20.4,22.2,NA,0.2,0.3,0.6,0.042
1 season,NA,PTP,ABA,,17,380,8.5,0.504,0.038,0.394,NA,NA,4.4,18.9,27.6,20.2,NA,0.3,0.3,0.6,0.078
