Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Maurice McHartley,,2.4,1.8,0.8,NA,NA,NA,NA
Álex Abrines,88.8,2.2,2.1,0.6,NA,NA,NA,NA
David Nwaba,88.8,2.4,1.4,0.8,NA,NA,NA,NA
Tex Ritter,88.3,2.4,2.3,1,NA,NA,NA,NA
Rodney McGruder,87.7,2.9,1.9,0.8,NA,NA,NA,NA
Travis Diener,85.5,2.5,1.9,0.7,0.6,0,NA,NA
Kenny Higgs,84.9,2.2,1.5,1,NA,NA,NA,NA
Ralph Johnson,83.6,2.9,1.6,0.8,0,NA,NA,NA
Chris Douglas-Roberts,83.2,2.4,1.6,0.7,0.6,0.1,0,NA
James Robinson,82.4,2.3,1.9,1.2,0.2,0.2,0,-0.1
Tom Garrick,82.0,2.5,1.8,1.4,0.2,NA,NA,NA
