Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,DLC,ABA,PG,58,NA,2175,5.5,13.7,0.4,0,0.3,0.176,5.4,13.4,0.405,3.7,5.4,0.694,NA,NA,4.5,3.8,4,3.6,14.7
1968-69,26,TOT,ABA,PG-SG,76,NA,2148,6.5,16.1,0.405,0.1,0.5,0.222,6.4,15.7,0.411,4.4,5.5,0.795,1.1,2.4,3.5,4.5,4.5,4.2,17.6
1968-69,26,NYA,ABA,SG,24,NA,645,6,14.8,0.402,0,0.2,0,6,14.6,0.408,4.6,6,0.776,1.5,2.7,4.2,4.2,4.5,4.8,16.6
1968-69,26,MMF,ABA,PG,52,NA,1503,6.8,16.7,0.407,0.1,0.6,0.261,6.6,16.1,0.412,4.3,5.4,0.804,0.9,2.3,3.2,4.6,4.5,4,18
1969-70,27,TOT,ABA,SG-PG,55,NA,992,5.6,14.1,0.399,0.2,1.3,0.167,5.4,12.8,0.423,3.6,4.7,0.754,1.5,2.6,4.2,5.2,5.4,5.7,15
1969-70,27,MMF,ABA,PG,11,NA,319,4.7,13.3,0.356,0,0.3,0,4.7,13,0.365,3,4.2,0.73,1.2,2.4,3.6,5.1,5.2,5.8,12.5
1969-70,27,PTP,ABA,SG,17,NA,380,5.4,12.5,0.432,0.2,0.5,0.4,5.2,12,0.433,3.8,4.9,0.769,1.5,2.2,3.7,5.2,5.6,4.5,14.8
1969-70,27,DLC,ABA,SG,27,NA,293,6.9,17,0.406,0.5,3.4,0.143,6.4,13.5,0.473,3.8,5,0.756,1.8,3.6,5.4,5.2,5.4,7.2,18.1
Career,NA,,ABA,,189,NA,5315,5.9,14.7,0.402,0.1,0.5,0.188,5.8,14.2,0.411,4,5.3,0.746,1.2,2.5,4.1,4.3,4.5,4.2,15.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DLC,ABA,,85,NA,2468,5.6,14,0.401,0.1,0.7,0.156,5.5,13.4,0.413,3.7,5.3,0.701,1.8,3.6,4.6,4,4.2,4,15.1
2 seasons,NA,MMF,ABA,,63,NA,1822,6.4,16.1,0.399,0.1,0.5,0.231,6.3,15.6,0.405,4.1,5.2,0.793,1,2.3,3.3,4.7,4.6,4.3,17.1
1 season,NA,NYA,ABA,,24,NA,645,6,14.8,0.402,0,0.2,0,6,14.6,0.408,4.6,6,0.776,1.5,2.7,4.2,4.2,4.5,4.8,16.6
1 season,NA,PTP,ABA,,17,NA,380,5.4,12.5,0.432,0.2,0.5,0.4,5.2,12,0.433,3.8,4.9,0.769,1.5,2.2,3.7,5.2,5.6,4.5,14.8
