,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,DLC,ABA,,12,,1,,,,12,14,,,,,,,28
1968-69,26,TOT,ABA,,16,,1,,,,10,13,,,,,,,36
1968-69,26,NYA,ABA,,9,,0,,,,9,13,,,,,,,26
1968-69,26,MMF,ABA,,16,,1,,,,10,12,,,,,,,36
1969-70,27,TOT,ABA,,8,,1,,,,10,10,,,,,,,26
1969-70,27,MMF,ABA,,6,,0,,,,7,7,,,,,,,19
1969-70,27,PTP,ABA,,8,,1,,,,10,10,,,,,,,26
1969-70,27,DLC,ABA,,6,,1,,,,6,6,,,,,,,14
Career,,,,,16,,1,,,,12,14,,,,,,,36
2 Seasons,,DLC,ABA,,12,,1,,,,12,14,,,,,,,28
2 Seasons,,MMF,ABA,,16,,1,,,,10,12,,,,,,,36
1 Season,,NYA,ABA,,9,,0,,,,9,13,,,,,,,26
1 Season,,PTP,ABA,,8,,1,,,,10,10,,,,,,,26
