Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,DLC,ABA,PG,58,NA,2175,330,825,0.4,3,17,0.176,327,808,0.405,0.402,225,324,0.694,NA,NA,273,230,241,216,888
1968-69,26,TOT,ABA,PG-SG,76,NA,2148,390,962,0.405,6,27,0.222,384,935,0.411,0.409,263,331,0.795,65,146,211,269,269,251,1049
1968-69,26,NYA,ABA,SG,24,NA,645,107,266,0.402,0,4,0,107,262,0.408,0.402,83,107,0.776,27,49,76,76,80,86,297
1968-69,26,MMF,ABA,PG,52,NA,1503,283,696,0.407,6,23,0.261,277,673,0.412,0.411,180,224,0.804,38,97,135,193,189,165,752
1969-70,27,TOT,ABA,SG-PG,55,NA,992,155,388,0.399,6,36,0.167,149,352,0.423,0.407,98,130,0.754,42,73,115,142,149,158,414
1969-70,27,MMF,ABA,PG,11,NA,319,42,118,0.356,0,3,0,42,115,0.365,0.356,27,37,0.73,11,21,32,45,46,51,111
1969-70,27,PTP,ABA,SG,17,NA,380,57,132,0.432,2,5,0.4,55,127,0.433,0.439,40,52,0.769,16,23,39,55,59,48,156
1969-70,27,DLC,ABA,SG,27,NA,293,56,138,0.406,4,28,0.143,52,110,0.473,0.42,31,41,0.756,15,29,44,42,44,59,147
Career,NA,,ABA,,189,NA,5315,875,2175,0.402,15,80,0.188,860,2095,0.411,0.406,586,785,0.746,107,219,599,641,659,625,2351
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DLC,ABA,,85,NA,2468,386,963,0.401,7,45,0.156,379,918,0.413,0.404,256,365,0.701,15,29,317,272,285,275,1035
2 seasons,NA,MMF,ABA,,63,NA,1822,325,814,0.399,6,26,0.231,319,788,0.405,0.403,207,261,0.793,49,118,167,238,235,216,863
1 season,NA,NYA,ABA,,24,NA,645,107,266,0.402,0,4,0,107,262,0.408,0.402,83,107,0.776,27,49,76,76,80,86,297
1 season,NA,PTP,ABA,,17,NA,380,57,132,0.432,2,5,0.4,55,127,0.433,0.439,40,52,0.769,16,23,39,55,59,48,156
