,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1953-54,23,SYR,NBA,,8,,6,9,,,5,18
Career,,,,,8,,6,9,,,5,18
1 Season,,SYR,NBA,,8,,6,9,,,5,18
