Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dillard Crocker,,2.2,1.2,0.1,-1.7
Sharone Wright,62.1,1.7,1.3,0,-1.6
Bruce Bowen,42.6,2.2,1.2,0,0
Jim Bradley,39.0,2.3,1.3,0.1,NA
Mario Hezonja,38.7,2.3,0.9,-0.1,-0.7
Tariq Abdul-Wahad,37.8,2.2,1.4,-0.2,-0.4
Doug Smith,37.6,2.3,1,0.8,-0.9
Monty Williams,37.2,2.3,1.2,0.3,-0.1
Fred Foster,35.1,2.1,1.1,0.4,-0.2
Tom Tolbert,34.4,2.5,1.3,0.1,0
Chris Copeland,33.3,2.1,1,-0.1,-0.1
