Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1948-49,24,FTW,BAA,PF,2,NA,NA,0.452,1.5,NA,NA,NA,NA,NA,0,0,0.1,NA
1949-50,25,DNN,NBA,PF,53,NA,NA,0.369,0.377,NA,NA,NA,NA,NA,-0.9,-0.8,-1.7,NA
1951-52,27,TOT,NBA,PF,38,783,12.3,0.427,0.52,NA,NA,NA,NA,NA,0.6,0.6,1.2,0.072
1951-52,27,INO,NBA,PF,6,23,12.7,0.589,1.2,NA,NA,NA,NA,NA,0.1,0,0.1,0.253
1951-52,27,MLH,NBA,PF,32,760,12.3,0.424,0.507,NA,NA,NA,NA,NA,0.5,0.6,1.1,0.067
1952-53,28,MLH,NBA,PF,61,776,13.2,0.449,0.665,NA,NA,NA,NA,NA,1.1,1,2.2,0.134
Career,NA,,TOT,,154,1559,12.8,0.399,0.467,NA,NA,NA,NA,NA,0.9,0.9,1.8,0.103
,NA,,NBA,,152,1559,12.8,0.398,0.464,NA,NA,NA,NA,NA,0.9,0.8,1.7,0.103
,NA,,BAA,,2,NA,NA,0.452,1.5,NA,NA,NA,NA,NA,0,0,0.1,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MLH,NBA,,93,1536,12.8,0.437,0.588,NA,NA,NA,NA,NA,1.6,1.6,3.2,0.101
1 season,NA,DNN,NBA,,53,NA,NA,0.369,0.377,NA,NA,NA,NA,NA,-0.9,-0.8,-1.7,NA
1 season,NA,INO,NBA,,6,23,12.7,0.589,1.2,NA,NA,NA,NA,NA,0.1,0,0.1,0.253
1 season,NA,FTW,BAA,,2,NA,NA,0.452,1.5,NA,NA,NA,NA,NA,0,0,0.1,NA
