,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2010-11,25,TOT,NBA,C,14,138,,,,38%,62%,-20.1,-24.4,3,3,17,1,10,0,6,2,2
2010-11,25,POR,NBA,C,10,106,,,,34%,66%,-22.4,-24.7,3,2,14,1,9,0,4,2,1
2010-11,25,BOS,NBA,C,4,32,,,,51%,49%,-11.9,-18.0,0,1,3,0,1,0,2,0,1
2011-12,26,TOT,NBA,C,27,175,,,,1%,99%,-10.8,-8.4,3,5,22,4,9,1,5,3,1
2011-12,26,POR,NBA,C,20,93,,,,,100%,-18.2,-17.6,2,2,14,3,5,1,2,2,1
2011-12,26,NOH,NBA,C,7,82,,,,2%,98%,-1.3,+3.0,1,3,8,1,4,0,3,1,0
2012-13,27,MIN,NBA,C,30,284,,,,13%,87%,-4.6,-2.6,3,6,37,3,12,1,18,0,2
Career,,,NBA,,71,597,,,,15%,85%,-10.0,-9.3,9,14,76,8,31,2,29,5,5
,,,,,,,,,,,,,,,,,,,,,,
1 season,,MIN,NBA,,30,284,,,,13%,87%,-4.6,-2.6,3,6,37,3,12,1,18,0,2
2 seasons,,POR,NBA,,30,199,,,,18%,82%,-20.5,-21.4,5,4,28,4,14,1,6,4,2
1 season,,NOH,NBA,,7,82,,,,2%,98%,-1.3,+3.0,1,3,8,1,4,0,3,1,0
1 season,,BOS,NBA,,4,32,,,,51%,49%,-11.9,-18.0,0,1,3,0,1,0,2,0,1
