Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Chris Johnson,,1,0.2,0.2,NA,NA
Luke Witte,77.6,1,0.1,0.1,NA,NA
Jason Collier,75.7,1.2,0.4,0.3,0,0
Keith Closs,74.9,1.1,0.6,0.2,NA,NA
Bernard James,67.3,1.2,0.5,0.1,NA,NA
Mike Peplowski,61.3,0.9,0.1,0,NA,NA
Stojko Vranković,60.9,0.9,0.4,0.1,0,-0.1
Chris Welp,57.9,0.7,0.3,0,NA,NA
Wang Zhizhi,57.9,1.5,0.2,0.1,0.1,0.1
Daniel Santiago,54.7,1.2,0.6,0,0,NA
Paul Ruffner,54.6,0.9,0.1,0,0,0
