Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Treveon Graham,,1.8,0.5,0.4,NA,NA
Patrick McCaw,92.0,1.7,0.6,0.5,NA,NA
Kedrick Brown,85.9,2,0.5,0.4,0.1,NA
Trajan Langdon,84.1,2,0.6,0.3,NA,NA
Terence Stansbury,83.8,1.5,0.6,0.3,NA,NA
Felipe López,82.9,1.9,0.5,0.4,0.3,NA
Mike Flynn,81.0,1.7,0.8,0.3,NA,NA
Bubbles Hawkins,80.8,1.9,0.6,0.3,0.1,NA
Kevin Williams,75.9,1.9,0.6,0.1,0.1,-0.1
Ray McCallum,74.7,1.4,0.4,0.3,NA,NA
Tracy Jackson,73.4,1.7,0.7,0,NA,NA
