Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,PTP,ABA,NA,7,45,11.8,0.481,0,0.091,NA,NA,4.7,3.5,8,20.6,NA,0,0,0.1,0.074
Career,NA,,ABA,NA,7,45,11.8,0.481,0,0.091,NA,NA,4.7,3.5,8,20.6,NA,0,0,0.1,0.074
