Season,Team,Lg,Salary
2007-08,Seattle SuperSonics,NBA,"$3,058,200"
2008-09,Oklahoma City Thunder,NBA,"$3,287,640"
2009-10,Oklahoma City Thunder,NBA,"$3,516,960"
2010-11,Boston Celtics,NBA,"$4,455,988"
2012-13,Boston Celtics,NBA,"$8,385,000"
2013-14,Boston Celtics,NBA,"$8,965,000"
2014-15,Memphis Grizzlies,NBA,"$9,445,000"
2015-16,Los Angeles Clippers,NBA,"$9,200,000"
2016-17,Orlando Magic,NBA,"$15,000,000"
2017-18,Cleveland Cavaliers,NBA,"$2,116,955"
2018-19,Washington Wizards,NBA,"$2,393,887"
Career,(may be incomplete),,"$69,824,630"
