Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jeff Green,,6.6,5.2,4.8,4.7,4.2,3.9,3.6,3.3,3.1,0.7,0.2
Glenn Robinson,93.8,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5
Robert Reid,92.8,7.2,5.2,4.9,4.5,4.4,4.1,3.5,3,2.3,1.7,-0.1
Tom Meschery,91.7,7.5,5.2,4.8,4.6,4.4,4.1,3.7,3.1,3.1,3,NA
John Salley,91.1,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5
Larry Smith,90.6,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,0.3
Brandon Bass,89.9,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2,0.1,0
Harvey Grant,88.8,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7
Jim Washington,88.5,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0
Junior Bridgeman,88.4,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8
Ersan İlyasova,88.4,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1
