,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,21,SEA,NBA,SF,80,2253,,,60%,40%,,-11.0,-4.4,49,57,116,20,115,18,253,26,51
2008-09,22,OKC,NBA,PF,78,2873,,,22%,76%,1%,-7.7,-3.4,56,66,114,20,143,27,341,27,60
2009-10,23,OKC,NBA,PF,82,3043,,,16%,81%,3%,+2.1,-8.9,40,42,119,25,123,14,306,37,44
2010-11,24,TOT,NBA,PF-SF,75,2427,,,29%,68%,3%,+0.1,-7.3,31,27,119,21,110,8,239,24,38
2010-11,24,OKC,NBA,PF,49,1815,,,18%,79%,3%,+1.4,-5.2,27,20,83,15,85,7,199,20,26
2010-11,24,BOS,NBA,SF,26,612,,,62%,38%,,-4.1,-11.9,4,7,36,6,25,1,40,4,12
2012-13,26,BOS,NBA,PF,81,2252,,,21%,61%,19%,-1.0,-1.2,46,40,86,24,122,7,309,26,63
2013-14,27,BOS,NBA,SF,82,2805,,,94%,6%,,-6.7,-5.7,53,50,78,36,151,14,318,34,49
2014-15,28,TOT,NBA,SF,78,2454,,,84%,17%,,-3.3,-7.1,37,33,57,17,119,9,305,24,66
2014-15,28,BOS,NBA,SF,33,1093,,,89%,11%,,-5.6,-7.8,15,21,23,10,54,5,127,13,25
2014-15,28,MEM,NBA,SF,45,1361,,,79%,21%,,-1.2,-7.0,22,12,34,7,65,4,178,11,41
2015-16,29,TOT,NBA,SF,80,2253,,,40%,59%,1%,-0.4,-2.0,34,32,78,12,102,5,328,23,56
2015-16,29,MEM,NBA,SF,53,1544,,,49%,51%,,-0.6,+2.9,28,18,46,10,72,3,232,16,42
2015-16,29,LAC,NBA,SF,27,709,,,21%,77%,2%,+0.1,-5.2,6,14,32,2,30,2,96,7,14
2016-17,30,ORL,NBA,PF,69,1534,,,42%,56%,2%,-9.4,-4.1,35,26,52,6,75,8,190,20,21
2017-18,31,CLE,NBA,PF,78,1828,,,3%,79%,18%,+4.0,+5.6,18,23,73,18,112,12,242,18,40
2018-19,32,WAS,NBA,PF,77,2097,,,1%,79%,21%,-2.8,+0.4,39,32,89,16,105,25,331,26,25
2019-20,33,TOT,NBA,PF,40,754,,,,60%,40%,-3.3,-7.6,9,9,32,15,35,5,77,3,11
2019-20,33,UTA,NBA,PF,30,553,,,,82%,18%,-9.0,-14.7,5,5,19,14,31,3,45,3,10
2019-20,33,HOU,NBA,PF,10,201,,,,,100%,+11.9,+8.7,4,4,13,1,4,2,32,0,1
Career,,,NBA,,900,26573,,,38%,56%,6%,-3.2,-4.0,447,437,1013,230,1312,152,3239,288,524
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,"SEA,OKC",NBA,,289,9984,,,28%,70%,2%,-3.8,-5.6,172,185,432,80,466,66,1099,110,181
4 seasons,,BOS,NBA,,222,6762,,,66%,28%,6%,-4.4,-5.1,118,118,223,76,352,27,794,77,149
2 seasons,,MEM,NBA,,98,2905,,,63%,37%,,-0.9,-1.7,50,30,80,17,137,7,410,27,83
1 season,,CLE,NBA,,78,1828,,,3%,79%,18%,+4.0,+5.6,18,23,73,18,112,12,242,18,40
1 season,,WAS,NBA,,77,2097,,,1%,79%,21%,-2.8,+0.4,39,32,89,16,105,25,331,26,25
1 season,,ORL,NBA,,69,1534,,,42%,56%,2%,-9.4,-4.1,35,26,52,6,75,8,190,20,21
1 season,,UTA,NBA,,30,553,,,,82%,18%,-9.0,-14.7,5,5,19,14,31,3,45,3,10
1 season,,LAC,NBA,,27,709,,,21%,77%,2%,+0.1,-5.2,6,14,32,2,30,2,96,7,14
1 season,,HOU,NBA,,10,201,,,,,100%,+11.9,+8.7,4,4,13,1,4,2,32,0,1
