Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Willis Reed,,14.7,14.6,10.6,10,7.9,5.8,5.5,3.6,1.5,0.6
DeAndre Jordan,85.6,12.8,11.8,11.5,11.1,9.4,6.2,5.6,5.2,1.5,1.3
Bob McAdoo,85.2,17.8,15.3,12.3,10.9,9.6,5.8,3.8,2,1.5,0.2
Brad Daugherty,83.5,12.7,11.7,9.6,9,6.6,6.4,6,3.1,NA,NA
Larry Foust,80.4,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5,4.2,NA
Zelmo Beaty,79.2,16,15.1,11.8,10.8,10.3,9,8.4,5.2,4.8,4.5
Bill Cartwright,78.5,10.1,10,9.8,9.7,6.4,5.8,5,4.5,2.1,0
Al Horford,76.5,10.9,10.1,9.4,8.8,8.7,6.8,6.3,5.5,2.8,1.3
Mel Daniels,76.3,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0,NA
Bob Lanier,75.5,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,5.9,5.2
Dave Cowens,75.3,12,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4
