Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,NYK,NBA,C,80,NA,3042,7.4,17.2,0.432,3.6,4.8,0.742,NA,NA,13.9,1.6,NA,NA,4,18.5
1965-66,23,NYK,NBA,PF,76,NA,2537,6.2,14.3,0.434,4.3,5.7,0.757,NA,NA,12.5,1.3,NA,NA,4.6,16.7
1966-67,24,NYK,NBA,PF,78,NA,2824,8.1,16.5,0.489,4.6,6.2,0.735,NA,NA,14.5,1.6,NA,NA,3.7,20.8
1967-68,25,NYK,NBA,PF,81,NA,2879,8.2,16.8,0.49,4.6,6.4,0.721,NA,NA,13.4,2,NA,NA,4.3,21.1
1968-69,26,NYK,NBA,C,82,NA,3108,8.2,15.6,0.521,3.8,5,0.747,NA,NA,13.8,2.2,NA,NA,3.6,20.1
1969-70,27,NYK,NBA,C,81,NA,3089,8.2,16.1,0.507,4.1,5.4,0.756,NA,NA,13.1,1.9,NA,NA,3.3,20.5
1970-71,28,NYK,NBA,C,73,NA,2855,7.7,16.8,0.462,3.8,4.8,0.785,NA,NA,12.6,1.9,NA,NA,2.9,19.3
1971-72,29,NYK,NBA,C,11,NA,363,6,13.6,0.438,2.7,3.9,0.692,NA,NA,9.5,2.2,NA,NA,3,14.6
1972-73,30,NYK,NBA,C,69,NA,1876,6.4,13.5,0.474,1.8,2.4,0.742,NA,NA,11.3,2.4,NA,NA,3.9,14.6
1973-74,31,NYK,NBA,C,19,NA,500,6,13.2,0.457,3,3.8,0.792,3.4,6.8,10.2,2.2,0.9,1.5,3.5,15.1
Career,NA,,NBA,,650,NA,23073,7.6,15.9,0.476,3.8,5.1,0.747,3.4,6.8,13.1,1.9,0.9,1.5,3.8,19
