,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,NYK,NBA,,17,,12,15,,,,,,,,46
1965-66,23,NYK,NBA,,17,,10,15,,,,,,,,40
1966-67,24,NYK,NBA,,17,,12,14,,,,,,,,43
1967-68,25,NYK,NBA,,21,,12,14,,,,,,,,53
1968-69,26,NYK,NBA,,18,,10,14,,,,,,,,39
1969-70,27,NYK,NBA,,17,,12,18,,,,,,,,40
1970-71,28,NYK,NBA,,16,31,13,15,,,,,,,,37
1971-72,29,NYK,NBA,,12,,4,6,,,,,,,,28
1972-73,30,NYK,NBA,,13,,7,10,,,,,,,,28
1973-74,31,NYK,NBA,,11,,8,11,,,,,,,,25
Career,,,,,21,,13,18,,,,,,,,53
