Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,NYK,NBA,C,1,0,25:00,3,11,0.273,1,2,0.5,NA,5,1,NA,NA,2,7
1965-66,23,NYK,NBA,PF,1,0,23:00,7,11,0.636,2,2,1,NA,8,1,NA,NA,3,16
1966-67,24,NYK,NBA,PF,1,1,17:00,2,6,0.333,0,0,NA,NA,9,1,NA,NA,0,4
1967-68,25,NYK,NBA,PF,1,1,25:00,7,14,0.5,2,3,0.667,NA,8,1,NA,NA,4,16
1968-69,26,NYK,NBA,C,1,0,14:00,5,8,0.625,0,0,NA,NA,4,2,NA,NA,2,10
1969-70,27,NYK,NBA,C,1,1,30:00,9,18,0.5,3,3,1,NA,11,0,NA,NA,6,21
1970-71,28,NYK,NBA,C,1,1,27:00,5,16,0.313,4,6,0.667,NA,13,1,NA,NA,3,14
Career,NA,,NBA,,7,4,161,38,84,0.452,12,16,0.75,NA,58,7,NA,NA,20,88
