Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Solomon Hill,,3.5,2.7,2.1,0.5,0.4,-0.1
Mickey Davis,91.5,3.4,2.6,2.3,0.4,0.3,-0.1
Brian Skinner,86.6,4.1,2.7,1.9,0.9,0.3,0.1
Kelly Oubre,86.3,3.7,2.2,2,0.4,NA,NA
Shabazz Muhammad,85.6,2.7,2.7,2,0.7,0.3,NA
Mike Jackson,83.6,3.4,3.1,2.4,0.2,NA,NA
Matt Barnes,83.5,3.7,3,2.3,1,0.7,0.4
Cal Christensen,83.5,3.2,2.9,1.7,0.4,0,NA
Andray Blatche,83.3,3.4,3,2.4,1.4,0.5,0.1
Walter Berry,83.2,3.4,2.4,2.3,NA,NA,NA
Sam Williams,82.9,3.7,2.7,2.6,-0.1,NA,NA
