Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ian Mahinmi,,6.2,3.4,3.3,2.3,2.2,2.1,1.8,1.4,1,0.7,0.2
Chris Kaman,85.3,6.1,3.6,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0
Andrew Lang,81.2,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7,-0.1
Otto Moore,81.1,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA,NA
Spencer Hawes,81.0,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,NA
Kosta Koufos,80.8,6.5,3.9,3.5,3.5,3.3,2.7,2.6,1.3,0.7,0.2,0
Bismack Biyombo,80.5,5.9,4,3.2,2.9,2.9,2,1.4,0.6,NA,NA,NA
Mel Counts,79.9,5,4.3,4.2,2.9,2.7,2,1.9,1.5,1.5,1,0.3
Kendrick Perkins,78.6,6.2,5.6,5.2,2.5,2.3,2,1.4,1,0.8,0.7,0.1
Clemon Johnson,78.2,4.3,4,3.7,3.5,2.2,2,2,1.7,1.2,0.9,NA
Mikki Moore,78.2,5.7,4.6,2.8,2.6,2.2,2.1,1,0.6,0.1,0.1,0.1
