Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Ronnie Price,,1.4,1.1,0.9,0.7,0.4,0.1,0.1,0.1,0,-0.1,-0.2,-0.7
Brook Steppe,75.2,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA,NA,NA,NA
Michael Carter-Williams,73.4,1.3,1.2,0.9,0.8,0.8,0.2,NA,NA,NA,NA,NA,NA
Troy Daniels,67.9,1.4,1.3,1.1,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA
Raul Neto,66.1,1.8,1.1,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA
Rex Walters,64.5,1.6,1.6,1.2,0.9,0.5,0.4,0.3,NA,NA,NA,NA,NA
Nik Stauskas,63.6,1.4,1.1,0.5,0.5,0.3,NA,NA,NA,NA,NA,NA,NA
Isaiah Canaan,62.9,1.4,1.4,0.6,0.5,0.2,0.1,NA,NA,NA,NA,NA,NA
Sergio Rodríguez,62.8,1.7,1.2,0.9,0.7,-0.2,NA,NA,NA,NA,NA,NA,NA
John Warren,62.8,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA,NA,NA
Todd Lichti,61.4,1.8,1.3,1.2,1,0.2,NA,NA,NA,NA,NA,NA,NA
