Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,26,PHO,NBA,SF,1,0,12:00,2,5,0.4,0,2,0,0,0,NA,0,3,2,0,0,1,0,4
1992-93,27,PHO,NBA,SG,1,0,26:00,6,11,0.545,3,6,0.5,3,4,0.75,2,7,3,1,2,0,2,18
1994-95,29,PHO,NBA,SF,1,1,20:00,4,12,0.333,2,7,0.286,0,0,NA,1,5,3,0,0,0,1,10
Career,NA,,NBA,,3,1,58,12,28,0.429,5,15,0.333,3,4,0.75,3,15,8,1,2,1,3,32
