Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Pascal Siakam,,9.3,4.7,1.6,NA,NA,NA
Domantas Sabonis,81.7,7.6,4.7,0.8,NA,NA,NA
Willie Murrell,75.3,7,4.6,3.1,NA,NA,NA
Toby Knight,74.5,7.3,5.7,1.6,1.1,NA,NA
Johnny Norlander,74.1,9.7,5.8,4.2,0.6,0.2,NA
Howie Dallmar,73.6,7,5.9,2.2,NA,NA,NA
Montrezl Harrell,73.6,8.7,5.5,4.1,0.9,NA,NA
Bones McKinney,70.9,7.1,4.9,3.3,0.2,0,-0.2
Art Heyman,70.8,8.5,6.1,2.7,1.3,0.6,0
Gary Bradds,69.9,8,3.6,3.4,0.5,0.3,0
Dario Šarić,67.4,6.6,3.5,1,NA,NA,NA
