Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,25,TOR,NBA,PF,1,1,17:33,7,10,0.7,0,2,0,1,2,0.5,0,6,0,1,0,1,4,15
Career,NA,,NBA,,1,1,18,7,10,0.7,0,2,0,1,2,0.5,0,6,0,1,0,1,4,15
