Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Robert Smith,,2.9,1.4,0.8,0.6,0,0,0
Jeff Judkins,85.8,3,1.8,0.7,0.6,0.2,NA,NA
Pete Myers,85.2,3,1.3,0.5,0.3,0,0,-0.1
Mike Evans,84.9,2.9,1.6,1.1,0.9,0.1,-0.1,-0.2
Ralph Johnson,84.5,2.9,1.6,0.8,0,NA,NA,NA
Bo Lamar,82.7,2.5,1.5,1,0.5,NA,NA,NA
Ennis Whatley,80.9,3.3,1.9,0.8,0.6,0,0,0
Chris Douglas-Roberts,80.8,2.4,1.6,0.7,0.6,0.1,0,NA
Travis Diener,79.6,2.5,1.9,0.7,0.6,0,NA,NA
Mike Davis,79.4,2.2,1.2,0.9,0.6,NA,NA,NA
Rodney McGruder,78.8,2.9,1.9,0.8,NA,NA,NA,NA
