,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1956-57,24,SYR,NBA,,4,14,3,4,4,,6,9
1957-58,25,SYR,NBA,,3,7,2,6,4,2,2,8
1958-59,26,SYR,NBA,,7,,4,4,,,6,16
1959-60,27,SYR,NBA,,0,5,0,0,2,2,2,0
1960-61,28,SYR,NBA,,6,11,3,4,,3,6,14
1961-62,29,SYR,NBA,,7,18,7,7,7,5,5,17
1962-63,30,SYR,NBA,,5,,4,7,,,5,10
1963-64,31,PHI,NBA,,5,12,1,2,4,,,11
1964-65,32,PHI,NBA,,9,17,5,6,4,6,6,21
1965-66,33,PHI,NBA,,7,13,6,8,3,1,6,20
Career,,,,,9,,7,8,,,,21
