,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1956-57,24,SYR,NBA,,8,,9,11,,,6,20
1957-58,25,SYR,NBA,,10,,7,10,,,,22
1958-59,26,SYR,NBA,,11,,8,11,,,,27
1959-60,27,SYR,NBA,,8,,6,10,,,,17
1960-61,28,SYR,NBA,,8,,7,,,,,18
1961-62,29,SYR,NBA,,13,,9,,,,,29
1962-63,30,SYR,NBA,,9,,7,,,,,22
1963-64,31,PHI,NBA,,10,,5,7,,,,22
1964-65,32,PHI,NBA,,8,21,5,6,6,,6,19
1965-66,33,PHI,NBA,,9,18,4,6,6,,6,18
Career,,,,,13,,9,,,,,29
