Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Greg Dreiling,,1.1,0.6,0.6,0.5,0.4,0.4,0.2,0.2,0.1,0.1
Steve Scheffler,70.9,0.7,0.6,0.6,0.4,0.4,0.3,0,NA,NA,NA
Johan Petro,61.7,1.7,1,0.8,0.7,0.4,0.4,0.4,0.2,NA,NA
Eric Riley,60.0,0.7,0.6,0.5,0.4,0.3,NA,NA,NA,NA,NA
Eric Fernsten,59.4,1.2,1,0.5,0.5,0.2,0,NA,NA,NA,NA
Didier Ilunga-Mbenga,56.1,0.6,0.5,0.5,0.4,0.3,0.1,0,NA,NA,NA
Mark McNamara,54.7,1.2,0.7,0.6,0.4,0.1,0,0,-0.2,NA,NA
Stuart Gray,52.3,1.1,0.9,0.7,0.6,0.4,0,-0.4,NA,NA,NA
Jawann Oldham,48.0,1.3,1.2,1,0.5,0.3,0,0,0,0,0
Steve Hayes,47.9,1.2,0.9,0.3,0.3,0.2,NA,NA,NA,NA,NA
Melvin Ely,45.6,2,0.8,0.6,0.4,0.3,0.1,0,-0.1,-0.3,NA
