Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,27,TOT,NBA,PF,67,NA,NA,0.348,0.42,NA,NA,NA,NA,NA,-1.6,4.6,3,NA
1949-50,27,AND,NBA,PF,35,NA,NA,0.366,0.506,NA,NA,NA,NA,NA,-0.2,2.6,2.5,NA
1949-50,27,FTW,NBA,PF,32,NA,NA,0.332,0.344,NA,NA,NA,NA,NA,-1.4,2,0.5,NA
1951-52,29,MNL,NBA,PF,66,1301,8.1,0.365,0.378,NA,NA,NA,NA,NA,-0.9,2.9,2,0.074
1952-53,30,MNL,NBA,PF,40,474,7.6,0.388,0.689,NA,NA,NA,NA,NA,-0.1,0.7,0.6,0.059
Career,NA,,NBA,,173,1775,8,0.357,0.43,NA,NA,NA,NA,NA,-2.6,8.2,5.6,0.07
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MNL,NBA,,106,1775,8,0.37,0.447,NA,NA,NA,NA,NA,-1.1,3.6,2.6,0.07
1 season,NA,AND,NBA,,35,NA,NA,0.366,0.506,NA,NA,NA,NA,NA,-0.2,2.6,2.5,NA
1 season,NA,FTW,NBA,,32,NA,NA,0.332,0.344,NA,NA,NA,NA,NA,-1.4,2,0.5,NA
