Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Howie Schultz,,3,2,0.6,NA,NA,NA
Gene Conley,88.9,2.8,2.1,0.4,0,0,-0.1
Ed Kalafat,88.1,2.6,2.1,0.7,NA,NA,NA
Vladimir Stepania,80.7,2.9,1.7,0.8,0.2,-0.1,-0.3
Gustavo Ayón,78.7,3.2,1.2,0.7,NA,NA,NA
Lucas Nogueira,78.7,3.7,1.6,0.7,0,NA,NA
Henry Sims,77.0,2.1,2.1,0.4,0,NA,NA
Greg Stiemsma,74.7,2.7,1.7,1.5,0.1,NA,NA
Reggie Harding,74.6,3.1,2.6,1.6,0,NA,NA
Festus Ezeli,74.3,2.7,1.7,1.5,NA,NA,NA
Bob Christian,74.0,2.4,1.9,0.9,0.5,0,NA
