Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Howie Schultz,,3,2,0.6
Joel Anthony,93.7,3.1,1.7,0.6
Jim McIlvaine,93.1,3,1.8,0.8
Marc Jackson,92.1,2.6,2,0.6
Ekpe Udoh,90.5,2.7,2.1,0.7
Tarik Black,89.7,3.1,2.4,0.7
Ed Kalafat,88.1,2.6,2.1,0.7
Meyers Leonard,87.7,2.8,2.4,0.6
Hub Reed,85.8,2.8,1.7,1
Bismack Biyombo,84.5,3.2,1.4,0.6
Joe Kleine,84.1,3.1,2.6,0.9
