Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Robert Covington,,6.1,4,3.1,2.5,2,0.1,NA,NA,NA
Scott May,92.2,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,NA,NA
Ronald Franz,90.2,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA
George Irvine,89.3,5.5,3.7,3.2,2.5,1.2,0,NA,NA,NA
Albert King,85.4,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0,-0.1
Tom Boswell,84.7,5.6,3.7,2.7,2.4,0.6,0.2,NA,NA,NA
Buck Johnson,84.1,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA
Monk Meineke,84.1,6.1,3.7,2.6,1.8,0.7,NA,NA,NA,NA
Kyle Anderson,83.7,6.2,3.5,2.7,2.7,0.3,NA,NA,NA,NA
Kenny Walker,83.7,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA
Jim Baechtold,82.8,6,3.2,2.6,2.1,0.9,NA,NA,NA,NA
