Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Rashad McCants,,1.7,1.6,0.6,-0.3
Richie Regan,82.8,1.6,1.5,0.4,NA
Sidney Lowe,81.4,1.7,1.5,0.5,0.3
Quinn Cook,77.4,1.8,1.6,0.2,NA
Fred LaCour,72.6,1.7,1.7,-0.1,NA
Corky Devlin,71.8,1.8,1.2,0.8,NA
Andrew Harrison,71.6,1.7,1.6,-0.1,NA
Steve Bracey,71.4,2.1,1.5,0.3,NA
Kenny Higgs,70.7,2.2,1.5,1,NA
Shane Larkin,70.5,1.7,1.4,1.4,-0.1
Richie Frahm,70.3,1.5,1,0.5,-0.2
