Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
David Thirdkill,,1,0.3,0,0,-0.1
Kenny Dennard,87.1,1.1,0.3,0.1,NA,NA
Shavlik Randolph,83.4,1.1,0.4,0,0,0
Jim Tucker,81.5,1,0.3,0,NA,NA
Dwayne Jones,76.6,1.2,0.1,0.1,0,0
Winston Bennett,74.0,1.1,0.3,0.2,NA,NA
Ivano Newbill,71.8,1.1,0.1,-0.1,NA,NA
Jackie Butler,70.9,1.2,0.1,0.1,NA,NA
Bob Peterson,70.5,0.9,0.4,0.2,NA,NA
Bob Arnzen,70.3,1,0.3,0.3,-0.1,NA
Stephen Howard,69.0,1.3,0.2,0.1,0,NA
