Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Harold Pressley,,4.8,2.3,2.2,0.7,NA,NA,NA,NA
Carl Herrera,88.6,4.6,2.1,2,0.5,0.1,0.1,-0.2,-0.3
Kyle Singler,87.7,4.4,2.3,2,1.1,0.3,0,NA,NA
Tony Jaros,84.6,4.4,2.2,1.3,0.6,NA,NA,NA,NA
Larry Stewart,84.5,4.7,2.9,1.6,0.5,0.1,NA,NA,NA
Boštjan Nachbar,84.4,4.1,2.2,1.7,0.8,0.1,-0.1,NA,NA
Nemanja Bjelica,84.2,4.5,2.8,1.9,1.5,NA,NA,NA,NA
Kelly Oubre,82.1,3.7,2.2,2,0.4,NA,NA,NA,NA
Collis Jones,81.0,4.2,3.2,2.1,1.2,NA,NA,NA,NA
Frank Card,78.8,4.2,2.6,2.4,1.9,0.1,NA,NA,NA
Greg Kelser,78.4,3.9,2.5,1.4,0.8,0.1,0,NA,NA
