Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Harold Pressley,,4.8,2.3,2.2,0.7
Carl Herrera,93.1,4.6,2.1,2,0.5
Bison Dele,92.8,4.7,2.3,1.8,0.3
Bill Calhoun,91.3,4.5,2.2,2.1,0.4
Don Nelson,90.7,5.4,2.3,2.1,0.4
Kyle Singler,90.2,4.4,2.3,2,1.1
Ed Nealy,89.8,4.7,2,1.9,0.3
Dennis Scott,89.2,5,2.8,2.6,0.7
James Bailey,89.1,4.9,2.9,2,1
David Benoit,89.1,4.6,2.3,2,1.6
George Johnson,87.2,3.8,2.5,2.2,0.6
