Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jonathan Bender,,2,1.7,0.5,0.2,0,-0.1,-0.2,-0.2
Donnell Harvey,80.5,2,1.8,0.7,0.2,0.1,NA,NA,NA
Joe Holup,77.9,2.1,1.8,0.3,NA,NA,NA,NA,NA
Sam Pellom,77.2,2.2,1.8,0.7,0,NA,NA,NA,NA
Alaa Abdelnaby,75.7,2.1,2,0.5,0.3,-0.1,NA,NA,NA
Ben Coleman,74.8,2,1.8,0.8,0.5,0,NA,NA,NA
Jon Brockman,71.4,1.9,1.7,0.1,NA,NA,NA,NA,NA
Kenny Battle,70.5,1.9,1.3,0.3,0.1,NA,NA,NA,NA
Solomon Jones,70.3,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Andrew Nicholson,69.5,1.7,1.6,0.6,0.1,-0.1,NA,NA,NA
Cheick Diallo,68.9,2.6,1.9,0.5,NA,NA,NA,NA,NA
