Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Lee Knorek,,5.1,2.5,1.7,0,NA,NA,NA
Ed Johnson,91.0,5.1,2.4,1,NA,NA,NA,NA
Mike Sojourner,83.7,4.7,2.7,0.9,NA,NA,NA,NA
Jamie Feick,79.7,4.8,2.2,0.9,0.2,0.2,NA,NA
Phil Jordon,77.6,5.2,1.9,1.5,0.7,0.6,0,-0.2
Todd MacCulloch,77.1,5.6,2.5,2.2,1.7,NA,NA,NA
Craig Raymond,76.9,4.7,1.7,1,0,0,NA,NA
Willy Hernangómez,76.5,3.4,2.6,1.8,NA,NA,NA,NA
Greg Oden,76.3,4.6,2.2,0.5,NA,NA,NA,NA
Tom Hoover,72.2,4.4,2.6,0.4,0.1,0,NA,NA
Reggie Harding,72.1,3.1,2.6,1.6,0,NA,NA,NA
