Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Lee Knorek,,5.1,2.5,1.7,0
Dewayne Dedmon,92.3,5.2,2.4,1.7,0.6
Ed Johnson,91.0,5.1,2.4,1,NA
Phil Jordon,90.6,5.2,1.9,1.5,0
Bryant Reeves,90.0,4.9,2.4,2.3,-0.1
Olden Polynice,84.2,5.2,2.5,1.6,1.5
Jusuf Nurkić,84.0,4.7,2,1.6,0.4
Mike Sojourner,83.7,4.7,2.7,0.9,NA
Chris Kaman,83.2,6.1,2.9,2.1,0
Mel Counts,82.8,5,2.9,1.5,1
Chris Andersen,81.8,4.5,2.4,1.1,0.3
