Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jim Pollard,,7.2,5.7,5.7,5.4,4.6,4.2,2.1
Antonio Davis,95.1,7.4,6.1,6,5.2,5,4,2
Caron Butler,94.4,7.2,6.3,5.3,5.3,5.1,4.5,2.1
Thaddeus Young,94.1,7.4,6.3,6.2,5.5,4.5,3.5,2.1
Terry Tyler,93.8,6.4,5.8,5.5,5.4,4.5,3.4,2.5
Bill Bradley,93.3,7,5.4,5.4,4.9,4.7,4.2,1.1
Loy Vaught,93.1,6.3,6.3,5.5,5.5,4.2,4.1,2.2
Cliff Levingston,92.5,7,6.1,5.5,5.5,5.3,4.7,1.3
Kenneth Faried,92.0,7.8,6.5,5.6,5.5,4.6,4.5,1.3
Wayman Tisdale,91.8,7,5.9,5.7,5.6,3.4,3.2,1.8
Tom Chambers,91.2,7.4,6.4,6.1,5.9,4.8,4.3,3.3
