Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1948-49,26,MNL,BAA,SF,10,NA,NA,0.373,0.422,NA,NA,NA,NA,NA,0.1,0.5,0.6,NA
1949-50,27,MNL,NBA,SF,12,NA,NA,0.356,0.354,NA,NA,NA,NA,NA,-0.5,1,0.5,NA
1950-51,28,MNL,NBA,SF,7,NA,NA,0.392,0.278,NA,NA,NA,NA,NA,-0.2,0.2,0.1,NA
1951-52,29,MNL,NBA,SF,11,469,16.2,0.454,0.289,NA,NA,NA,15.8,NA,0.2,0.7,0.9,0.096
1952-53,30,MNL,NBA,SF,12,455,19.3,0.443,0.371,NA,NA,NA,23.5,NA,0.4,1,1.4,0.148
1953-54,31,MNL,NBA,SF,13,543,16.2,0.441,0.387,NA,NA,NA,15.4,NA,0.1,1.3,1.4,0.127
1954-55,32,MNL,NBA,SF,7,257,15.6,0.398,0.442,NA,NA,NA,10.7,NA,-0.2,0.5,0.3,0.056
Career,NA,,TOT,,72,1724,16.9,0.41,0.362,NA,NA,NA,16.9,NA,-0.1,5.4,5.3,0.113
,NA,,NBA,,62,1724,16.9,0.416,0.351,NA,NA,NA,16.9,NA,-0.2,4.8,4.7,0.113
,NA,,BAA,,10,NA,NA,0.373,0.422,NA,NA,NA,NA,NA,0.1,0.5,0.6,NA
