Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Travis Best,,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,NA,NA,NA
Jim Cleamons,91.4,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA,NA,NA,NA
Charlie Ward,90.7,7.1,5.5,3.9,3.7,3.6,3.1,2.9,1.9,1,0.5,-0.2,NA,NA
Foots Walker,89.6,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA,NA,NA
Raja Bell,88.3,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,NA
John Salmons,88.1,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1
Bobby Phills,87.2,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA,NA,NA,NA
Gerald Henderson,85.8,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0
Adrian Smith,85.8,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,NA,NA
Voshon Lenard,85.7,7.1,6.8,4,3.5,3,2.4,1.7,0.9,0.3,0.1,-0.1,NA,NA
Craig Hodges,85.4,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,NA,NA,NA
