Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Corey Beck,,0.4,0.2,-0.1
Billy Thomas,82.8,0.4,0.2,-0.1
Elijah Millsap,70.9,0.4,0.1,-0.1
Brad Holland,68.4,0.3,0.1,-0.1
Russ Lee,67.7,0.3,0.2,0
Doug Lee,67.0,0.4,0.4,0
James White,66.1,0.5,0.3,0
Anthony Jones,62.0,0.5,0.3,0
Briante Weber,58.6,0.4,0.3,0
Malcolm Lee,56.4,0.4,0.1,0
Lance Blanks,55.4,0.4,0.2,0.1
