Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kenny Higgs,,2.2,1.5,1,NA
Kirk Snyder,88.4,2.2,1.4,1.1,-0.2
David Nwaba,86.9,2.4,1.4,0.8,NA
Courtney Alexander,86.2,2.2,1.1,0.8,NA
Maurice McHartley,84.9,2.4,1.8,0.8,NA
Steven Kramer,84.5,1.9,1.2,1.1,NA
Dirk Minniefield,84.1,1.9,1.1,1.1,NA
Steve Bracey,83.1,2.1,1.5,0.3,NA
Bo Lamar,83.1,2.5,1.5,1,0.5
Johnny High,82.2,2.5,1.2,1.1,-0.1
Mike Davis,81.4,2.2,1.2,0.9,0.6
