,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,23,NYK,NBA,,6,,,,,,3,7,,,,,,,13
1967-68,24,TOT,ABA,,8,,1,,,,5,9,,,,,,,18
1967-68,24,OAK,ABA,,2,,0,,,,2,2,,,,,,,4
1967-68,24,HSM,ABA,,8,,1,,,,5,9,,,,,,,18
Career,,,TOT,,8,,,,,,5,9,,,,,,,18
,,,NBA,,6,,,,,,3,7,,,,,,,13
,,,ABA,,8,,1,,,,5,9,,,,,,,18
,,,,,,,,,,,,,,,,,,,
1 Season,,HSM,ABA,,8,,1,,,,5,9,,,,,,,18
1 Season,,NYK,NBA,,6,,,,,,3,7,,,,,,,13
1 Season,,OAK,ABA,,2,,0,,,,2,2,,,,,,,4
