Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,23,NYK,NBA,C,13,NA,5.8,1.5,3.9,0.373,NA,NA,NA,1.5,3.9,0.373,0.373,0.5,1,0.538,NA,NA,1.7,0.2,NA,0.7,3.5
1967-68,24,TOT,ABA,C,46,NA,11.6,2.1,4.9,0.427,0,0.1,0.667,2,4.8,0.423,0.431,0.9,1.3,0.672,NA,NA,3.7,0.8,0.6,1.1,5.1
1967-68,24,OAK,ABA,C,5,NA,9.2,1,2.6,0.385,0,0,NA,1,2.6,0.385,0.385,0.8,0.8,1,NA,NA,2,0.6,0.6,0.6,2.8
1967-68,24,HSM,ABA,C,41,NA,11.9,2.2,5.2,0.429,0,0.1,0.667,2.2,5.1,0.426,0.434,0.9,1.4,0.649,NA,NA,3.9,0.9,0.6,1.1,5.4
Career,NA,,TOT,,59,NA,10.3,1.9,4.7,0.417,0,0.1,0.667,1.9,4.6,0.414,0.42,0.8,1.3,0.649,NA,NA,3.3,0.7,0.6,1,4.7
,NA,,ABA,,46,NA,11.6,2.1,4.9,0.427,0,0.1,0.667,2,4.8,0.423,0.431,0.9,1.3,0.672,NA,NA,3.7,0.8,0.6,1.1,5.1
,NA,,NBA,,13,NA,5.8,1.5,3.9,0.373,NA,NA,NA,1.5,3.9,0.373,0.373,0.5,1,0.538,NA,NA,1.7,0.2,NA,0.7,3.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HSM,ABA,,41,NA,11.9,2.2,5.2,0.429,0,0.1,0.667,2.2,5.1,0.426,0.434,0.9,1.4,0.649,NA,NA,3.9,0.9,0.6,1.1,5.4
1 season,NA,NYK,NBA,,13,NA,5.8,1.5,3.9,0.373,NA,NA,NA,1.5,3.9,0.373,0.373,0.5,1,0.538,NA,NA,1.7,0.2,NA,0.7,3.5
1 season,NA,OAK,ABA,,5,NA,9.2,1,2.6,0.385,0,0,NA,1,2.6,0.385,0.385,0.8,0.8,1,NA,NA,2,0.6,0.6,0.6,2.8
