Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,23,NYK,NBA,C,13,NA,75,19,51,0.373,NA,NA,NA,19,51,0.373,0.373,7,13,0.538,NA,NA,22,2,NA,9,45
1967-68,24,TOT,ABA,C,46,NA,535,96,225,0.427,2,3,0.667,94,222,0.423,0.431,41,61,0.672,NA,NA,170,39,26,49,235
1967-68,24,OAK,ABA,C,5,NA,46,5,13,0.385,0,0,NA,5,13,0.385,0.385,4,4,1,NA,NA,10,3,3,3,14
1967-68,24,HSM,ABA,C,41,NA,489,91,212,0.429,2,3,0.667,89,209,0.426,0.434,37,57,0.649,NA,NA,160,36,23,46,221
Career,NA,,TOT,,59,NA,610,115,276,0.417,2,3,0.667,113,273,0.414,0.42,48,74,0.649,NA,NA,192,41,26,58,280
,NA,,ABA,,46,NA,535,96,225,0.427,2,3,0.667,94,222,0.423,0.431,41,61,0.672,NA,NA,170,39,26,49,235
,NA,,NBA,,13,NA,75,19,51,0.373,NA,NA,NA,19,51,0.373,0.373,7,13,0.538,NA,NA,22,2,NA,9,45
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HSM,ABA,,41,NA,489,91,212,0.429,2,3,0.667,89,209,0.426,0.434,37,57,0.649,NA,NA,160,36,23,46,221
1 season,NA,NYK,NBA,,13,NA,75,19,51,0.373,NA,NA,NA,19,51,0.373,0.373,7,13,0.538,NA,NA,22,2,NA,9,45
1 season,NA,OAK,ABA,,5,NA,46,5,13,0.385,0,0,NA,5,13,0.385,0.385,4,4,1,NA,NA,10,3,3,3,14
