Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,23,NYK,NBA,C,13,NA,75,9.1,24.5,0.373,NA,NA,NA,9.1,24.5,0.373,3.4,6.2,0.538,NA,NA,10.6,1,NA,4.3,21.6
1967-68,24,TOT,ABA,C,46,NA,535,6.5,15.1,0.427,0.1,0.2,0.667,6.3,14.9,0.423,2.8,4.1,0.672,NA,NA,11.4,2.6,1.7,3.3,15.8
1967-68,24,OAK,ABA,C,5,NA,46,3.9,10.2,0.385,0,0,NA,3.9,10.2,0.385,3.1,3.1,1,NA,NA,7.8,2.3,2.3,2.3,11
1967-68,24,HSM,ABA,C,41,NA,489,6.7,15.6,0.429,0.1,0.2,0.667,6.6,15.4,0.426,2.7,4.2,0.649,NA,NA,11.8,2.7,1.7,3.4,16.3
Career,NA,,TOT,,59,NA,610,6.8,16.3,0.417,0.1,0.2,0.667,6.7,16.1,0.414,2.8,4.4,0.649,NA,NA,11.3,2.4,1.7,3.4,16.5
,NA,,ABA,,46,NA,535,6.5,15.1,0.427,0.1,0.2,0.667,6.3,14.9,0.423,2.8,4.1,0.672,NA,NA,11.4,2.6,1.7,3.3,15.8
,NA,,NBA,,13,NA,75,9.1,24.5,0.373,NA,NA,NA,9.1,24.5,0.373,3.4,6.2,0.538,NA,NA,10.6,1,NA,4.3,21.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HSM,ABA,,41,NA,489,6.7,15.6,0.429,0.1,0.2,0.667,6.6,15.4,0.426,2.7,4.2,0.649,NA,NA,11.8,2.7,1.7,3.4,16.3
1 season,NA,NYK,NBA,,13,NA,75,9.1,24.5,0.373,NA,NA,NA,9.1,24.5,0.373,3.4,6.2,0.538,NA,NA,10.6,1,NA,4.3,21.6
1 season,NA,OAK,ABA,,5,NA,46,3.9,10.2,0.385,0,0,NA,3.9,10.2,0.385,3.1,3.1,1,NA,NA,7.8,2.3,2.3,2.3,11
