,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,24,HOU,NBA,PF,17,159,,,9%,61%,30%,+3.7,-1.9,1,3,10,0,7,1,8,3,10
2009-10,26,TOT,NBA,PF,13,96,,,36%,60%,5%,-16.6,-13.8,2,2,7,3,5,1,7,1,5
2009-10,26,HOU,NBA,PF,8,82,,,26%,69%,5%,-17.1,-16.9,2,2,5,3,5,1,7,1,5
2009-10,26,WAS,NBA,PF,5,14,,,90%,9%,1%,-14.8,-9.3,0,0,2,0,0,0,0,0,0
2010-11,27,HOU,NBA,PF,4,16,,41%,59%,,,+60.0,+58.0,0,0,1,1,1,0,3,0,2
2013-14,30,UTA,NBA,PF,20,225,,,24%,75%,1%,+2.7,+11.3,3,3,8,4,10,2,13,0,4
Career,,,NBA,,54,496,,1%,22%,65%,11%,+1.2,+3.7,6,8,26,8,23,4,31,4,21
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,29,257,,3%,17%,60%,20%,+0.6,-3.0,3,5,16,4,13,2,18,4,17
1 season,,UTA,NBA,,20,225,,,24%,75%,1%,+2.7,+11.3,3,3,8,4,10,2,13,0,4
1 season,,WAS,NBA,,5,14,,,90%,9%,1%,-14.8,-9.3,0,0,2,0,0,0,0,0,0
