Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mike Harris,,0.5,0.5,0,-0.1
Ron Grandison,83.8,0.6,0.5,0,0
Josh Davis,78.6,0.5,0.3,0,0
Roderick McDonald,77.8,0.5,0.5,0.2,NA
Greg Foster,76.3,0.6,0.5,0.2,0
Jamal Sampson,71.5,0.5,0.4,0.2,0
Anthony Cook,69.7,0.5,0.4,0.1,0.1
Alex Poythress,68.8,0.5,0.3,0.1,NA
Gene James,64.5,0.5,0.3,0.1,NA
Ansu Sesay,64.3,0.8,0.5,0.2,-0.1
Bill Curley,63.8,0.7,0.5,0.2,0
