,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1976-77,22,CHI,NBA,,2,4,2,2,,,3,2,,,3,4
Career,,,,,2,4,2,2,,,3,2,,,3,4
