Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Derrick Jones,,2.9,1.1,0.4
Sam Young,94.3,2.9,1.2,0.2
Joey Graham,93.4,3,1.3,0.3
Lorenzo Williams,91.9,3.1,1.1,0.3
Malik Rose,91.6,2.6,1.1,0.4
Toby Kimball,90.5,3.2,1.2,0.4
Don Adams,89.9,2.9,0.9,0.7
Mirza Teletović,89.0,2.7,0.9,0.5
Bill Turner,89.0,3.1,1.1,0.7
Tyrone Nesby,88.2,3.1,1.3,0.3
David Wood,87.8,2.8,1,0
