Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Derrick Jones,,2.9,1.1,0.4,NA,NA
Charles Jones,89.0,2.9,0.9,0.6,0.1,NA
Dick Schulz,87.2,2.9,0.8,0.6,0,NA
Dennis Hamilton,84.6,2.8,0.7,0.5,0,NA
Jeff Adrien,84.4,2.7,1,0.4,0.2,0.1
Juan Hernangómez,83.6,3,1.8,0.4,NA,NA
Sam Young,83.4,2.9,1.2,0.9,0.2,NA
Kenny Fields,82.0,2.8,0.7,0.7,0,NA
Sam Dekker,81.4,3.1,1.2,1,0,NA
Dorian Finney-Smith,81.1,3.3,1.4,0.1,NA,NA
Grady Lewis,79.2,2.4,1.1,0.8,NA,NA
