Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
D.J. Augustin,,6.9,6.2,6.2,5.1,4.1,3.4,2.8,2.8,2.6,1.2,0.5,NA,NA,NA
Craig Ehlo,93.1,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0
Jrue Holiday,88.4,7.1,5.7,5.4,4.2,3.8,3.4,3.4,3.3,1.5,1.2,NA,NA,NA,NA
K.C. Jones,87.6,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8,NA,NA,NA,NA,NA
Eddie Johnson,87.4,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA,NA,NA
Kevin Porter,86.6,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,NA,NA,NA,NA
Jalen Rose,86.6,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5,0.6,NA
Clem Haskins,86.5,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA,NA,NA,NA
Slater Martin,86.2,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,NA,NA,NA
Eric Snow,85.9,8.4,6.1,5.5,5.5,3.8,3.8,2.8,2.1,1.9,1.9,1.3,0.5,-0.1,NA
John Paxson,85.4,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,NA,NA,NA
