Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Larry Siegfried,,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1
Ruben Patterson,92.4,6.7,5.6,5.5,5.4,3.4,3.2,3,2.1,0.2
Amir Johnson,91.5,7.3,6.3,5.6,4.5,4,3,2.7,0.5,0.2
Rod Higgins,90.9,5.9,5.7,5.3,5,3.8,3.7,2,1,0.1
Jeff Green,90.0,6.6,5.2,4.8,4.7,4.2,3.3,3.1,0.7,0.2
Loy Vaught,89.7,6.3,6.3,5.5,5.5,4.2,4.1,2.2,0.5,-0.2
P.J. Tucker,87.9,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA
Marvin Williams,87.9,6.1,5.7,5.7,4.9,4,2.9,2.8,2.3,2.3
Robert Horry,87.8,6.6,5.9,5.7,4.9,4.2,3.6,2.9,2.6,1.7
Jim Pollard,87.7,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA
Terry Tyler,87.5,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9
